X,Y,Z
0.600145,-0.025648,0.043692
0.590194,-0.016142,0.092282
0.559535,-0.015807,0.159133
0.506221,-0.031203,0.170454
0.482901,-0.031557,0.258096
0.495748,-0.011617,0.218931
0.501678,-0.01306,0.26315
0.508501,-0.031194,0.211232
0.517653,-0.033824,0.193486
0.462163,-0.02789,0.27695
0.435204,-0.037533,0.331802
0.421177,-0.043882,0.298014
0.431304,-0.016915,0.314696
0.408564,-0.030157,0.337451
0.400951,-0.025529,0.341624
0.401211,-0.008814,0.364403
0.389032,-0.01553,0.388384
0.35083,-0.012842,0.429792
0.336015,-0.016801,0.444096
0.334072,-0.004158,0.455465
0.310474,-0.013851,0.474701
0.30047,-0.009823,0.488481
0.274551,-0.011422,0.49233
0.289845,-0.016462,0.493444
0.280853,-0.01038,0.500442
0.27825,-0.014056,0.504692
0.271625,-0.01528,0.495342
0.266664,-0.005597,0.50979
0.249438,0.000261,0.531153
0.214232,-0.008523,0.540817
0.214357,-0.003066,0.546743
0.179009,-0.014882,0.543166
0.126592,-0.001911,0.600195
0.159211,-0.012217,0.574882
0.063954,-0.004892,0.615273
0.007485,-0.003928,0.628243
-0.04205,0.003665,0.640498
-0.091955,0.007203,0.643711
-0.143998,0.011956,0.645676
-0.180734,0.014985,0.669996
-0.240936,0.0154,0.682075
-0.347147,0.016718,0.655824
-0.300125,0.009867,0.675246
-0.395601,0.016474,0.651169
-0.44129,0.005463,0.625675
-0.473136,0.01695,0.609401
-0.530797,0.012398,0.572632
-0.585437,0.001296,0.515643
-0.615303,0.024591,0.449131
-0.644939,0.002949,0.416387
-0.668245,0.008781,0.389517
-0.686348,0.018061,0.321054
-0.704398,0.008465,0.268706
-0.710911,0.00177,0.194556
-0.714784,0.002917,0.119257
-0.712941,-0.006842,0.08579
-0.711038,0.005531,0.06892
-0.718729,0.00373,0.016884
-0.687558,0.001834,-0.089071
-0.646877,-0.006762,-0.196071
-0.636029,-0.00444,-0.202951
-0.631017,-0.01129,-0.187657
-0.59034,0.000105,-0.274416
-0.52759,-0.007782,-0.39958
-0.498974,-0.010133,-0.427006
-0.469474,0.002044,-0.445498
-0.432658,-0.001963,-0.475976
-0.386583,-0.001421,-0.499561
-0.343141,-0.000459,-0.547217
-0.30862,-0.012973,-0.574947
-0.254172,-0.02247,-0.609136
-0.202764,-0.023323,-0.6338
-0.139048,-0.024397,-0.659617
-0.108898,-0.032049,-0.697287
-0.045149,-0.027888,-0.722566
-0.020101,-0.037627,-0.73302
0.033175,-0.030666,-0.751822
0.097685,-0.031623,-0.747268
0.170522,-0.038746,-0.746111
0.194784,-0.043503,-0.755995
0.251162,-0.0396,-0.780495
0.284981,-0.051354,-0.765004
0.33781,-0.037548,-0.757291
0.37796,-0.034142,-0.731067
0.464631,-0.035759,-0.624479
0.498049,-0.036849,-0.617107
0.532764,-0.050155,-0.614749
0.594871,-0.048243,-0.569105
0.638636,-0.032219,-0.522336
0.684401,-0.029302,-0.493509
0.724114,-0.035111,-0.423022
0.743941,-0.038998,-0.369732
0.775314,-0.03627,-0.331083
0.798746,-0.043569,-0.300451
0.828092,-0.036685,-0.263391
0.837059,-0.040856,-0.148099
0.829633,-0.039558,-0.19605
0.835935,-0.041608,-0.090518
0.846233,-0.020965,-0.022972
0.842149,-0.012695,0.004876
0.856283,-0.026924,0.030191
0.835673,-0.038827,0.100696
0.813679,-0.056483,0.121369
0.822302,-0.036746,0.177538
0.786142,-0.0381,0.253472
0.779685,-0.022444,0.284936
0.765607,-0.028767,0.269142
0.745385,-0.034478,0.272151
0.704218,-0.030961,0.349868
0.662916,-0.03622,0.419041
0.633099,-0.041147,0.434125
0.624312,-0.025317,0.446122
0.59383,-0.033138,0.463537
0.58936,-0.030031,0.490918
0.560465,-0.027061,0.514245
0.544893,-0.024512,0.544923
0.513766,-0.017365,0.568256
0.476781,-0.023494,0.604528
0.44314,-0.019236,0.639276
0.438645,-0.016873,0.650462
0.410166,-0.01432,0.656034
0.403752,-0.013528,0.67223
0.369472,-0.029023,0.692801
0.374197,-0.014975,0.715267
0.339212,-0.016279,0.729281
0.318398,0.000193,0.762659
0.304308,-0.008601,0.794666
0.267848,-0.01662,0.821999
0.132676,-0.008872,0.888272
0.227151,-0.003669,0.858012
0.064451,-0.011369,0.892056
-0.004119,0.005631,0.905413
-0.060356,-0.003555,0.892765
-0.109431,0.01159,0.877324
-0.178663,0.011739,0.90794
-0.260013,0.006393,0.898904
-0.414844,0.023316,0.880759
-0.344513,0.013409,0.892221
-0.499794,0.018392,0.841016
-0.579688,0.01972,0.8003
-0.642561,0.040297,0.771654
-0.723516,0.023211,0.679527
-0.810116,0.023567,0.492338
-0.785036,0.018788,0.576414
-0.839698,0.005461,0.406826
-0.889361,-0.001986,0.242394
-0.850658,0.016149,0.338716
-0.896346,-0.007206,0.164653
-0.915371,0.001532,-0.011418
-0.90195,0.004689,0.071816
-0.899827,0.000366,-0.098543
-0.89347,0.000361,-0.157673
-0.858019,-0.00617,-0.286736
-0.798868,0.004654,-0.456801
-0.764276,-0.013212,-0.491802
-0.757501,-0.004655,-0.399042
-0.774113,-0.001264,-0.336611
-0.74681,-0.003224,-0.342104
-0.757678,-0.012638,-0.353079
-0.753311,-0.008989,-0.352257
-0.642266,-0.01205,-0.508029
-0.7426,-0.009405,-0.395523
-0.422992,0.003975,-0.767191
-0.29204,-0.03535,-0.782457
-0.340403,-0.0308,-0.845794
-0.208386,-0.035958,-0.78266
-0.072513,-0.042566,-0.877767
0.036083,-0.048697,-0.982351
0.154022,-0.055323,-1.007902
0.239243,-0.056138,-0.99657
0.373903,-0.061433,-0.954939
0.302745,-0.05962,-0.987688
0.420616,-0.049121,-0.928587
0.456602,-0.038151,-0.877982
0.476798,-0.056558,-0.846732
0.521176,-0.052126,-0.820723
0.556297,-0.053674,-0.815249
0.606971,-0.04206,-0.766371
0.664713,-0.039181,-0.701013
0.734795,-0.050386,-0.593068
0.786952,-0.029685,-0.470385
0.784607,-0.053248,-0.442068
0.86846,-0.052999,-0.397445
0.830104,-0.043257,-0.436016
0.90394,-0.04347,-0.325951
0.930719,-0.05094,-0.194143
0.922139,-0.045084,-0.260226
0.949619,-0.044058,-0.119476
0.963088,-0.038098,-0.070958
0.974855,-0.020589,0.000978
0.984749,-0.014635,0.039179
0.955897,-0.038801,0.085424
